date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-27,California,State,Delta,1.0,0.14,0.57142857142,0.252525252525
2021-01-27,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-27,California,State,Total,705.0,100.0,226.28571428571,100.0
2021-01-28,California,State,Alpha,26.0,3.02,10.85714285714,3.231292517007
2021-01-28,California,State,Epsilon,528.0,61.32,209.71428571428,62.414965986395
2021-01-28,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-28,California,State,Other,300.0,34.84,114.0,33.928571428571
2021-01-28,California,State,Gamma,3.0,0.35,0.42857142857,0.127551020408
2021-01-28,California,State,Delta,2.0,0.23,0.71428571428,0.212585034014
2021-01-28,California,State,Beta,2.0,0.23,0.28571428571,0.085034013605
2021-01-28,California,State,Total,861.0,100.0,336.0,100.0
2021-01-28,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-28,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-29,California,State,Delta,1.0,0.48,0.71428571428,0.199044585987
2021-01-29,California,State,Beta,0.0,0.0,0.28571428571,0.079617834395
2021-01-29,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-29,California,State,Other,51.0,24.29,119.57142857142,33.320063694268
2021-01-29,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-29,California,State,Epsilon,146.0,69.52,226.28571428571,63.057324840764
2021-01-29,California,State,Gamma,2.0,0.95,0.71428571428,0.199044585987
2021-01-29,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-29,California,State,Total,210.0,100.0,358.85714285714,100.0
2021-01-29,California,State,Alpha,10.0,4.76,11.28571428571,3.144904458599
2021-01-30,California,State,Alpha,3.0,2.83,10.14285714285,2.741312741313
2021-01-30,California,State,Delta,0.0,0.0,0.71428571428,0.19305019305
2021-01-30,California,State,Beta,0.0,0.0,0.28571428571,0.07722007722
2021-01-30,California,State,Omicron,0.0,0.0,0.0,0.0
2021-01-30,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-30,California,State,Gamma,0.0,0.0,0.71428571428,0.19305019305
2021-01-30,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-30,California,State,Other,27.0,25.47,122.71428571428,33.166023166023
2021-01-30,California,State,Epsilon,76.0,71.7,235.42857142857,63.629343629344
2021-01-30,California,State,Total,106.0,100.0,370.0,100.0
2021-01-31,California,State,Delta,0.0,0.0,0.71428571428,0.179275726067
2021-01-31,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-31,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-31,California,State,Epsilon,161.0,65.71,253.42857142857,63.607027608462
2021-01-31,California,State,Gamma,0.0,0.0,0.71428571428,0.179275726067
2021-01-31,California,State,Other,81.0,33.06,133.71428571428,33.560415919684
